Тест		МШ	Славин Артем	

ks_4_0 		19 	18		(-5%)
ks_19_0 	11080 	11981		(лучше)
ks_10000_0 	993511 	1.09987e+06 	(лучше)
ks_1000_0 	99124 	109869		(лучше)
ks_100_0 	93045 	90000		(-3%)
ks_100_1 	1272176 1.33364e+06 	(лучше)
ks_100_2 	9816 	10892		(лучше)
ks_200_0 	99090 	100062		(лучше)
ks_200_1 	1067697 1.10344e+06 	(лучше)
ks_300_0 	1638698 1.68858e+06	(лучше)
ks_30_0 	99045 	90000		(-1%)
ks_400_0 	3879439 3.96681e+06	(лучше)
ks_40_0 	99090 	96474		(-3%)
ks_45_0 	20939 	23974		(лучше)
ks_500_0 	48984 	54891		(лучше)
ks_50_0 	132960 	141956		(лучше)
ks_50_1 	4630 	5326		(лучше)
ks_60_0 	99045 	90000		(-9%)

Все тесты в рамках допустимого
	
